
****
h=     0.100000
            x	            y	           yc	            e
 0.2625000000	 1.0725259952	 1.0725370518	 1.10565e-005
 0.2750000000	 1.0798229085	 1.0798347289	 1.18205e-005
 0.2875000000	 1.0874942375	 1.0875068457	 1.26083e-005
 0.3000000000	 1.0955437682	 1.0955571885	 1.34203e-005
 0.3125000000	 1.1039753784	 1.1039896353	 1.42569e-005
 0.3250000000	 1.1127930382	 1.1128081567	 1.51185e-005
 0.3375000000	 1.1220008116	 1.1220168170	 1.60055e-005
 0.3500000000	 1.1316028573	 1.1316197754	 1.69181e-005
 0.3625000000	 1.1416034299	 1.1416212868	 1.78569e-005
 0.3750000000	 1.1520068808	 1.1520257030	 1.88222e-005
 0.3875000000	 1.1628176594	 1.1628374739	 1.98144e-005
 0.4000000000	 1.1740403144	 1.1740611485	 2.08341e-005
 0.4125000000	 1.1856794947	 1.1857013762	 2.18815e-005
 0.4250000000	 1.1977399508	 1.1977629079	 2.29572e-005
 0.4375000000	 1.2102265358	 1.2102505973	 2.40615e-005
 0.4500000000	 1.2231442068	 1.2231694018	 2.51951e-005
 0.4625000000	 1.2364980259	 1.2365243842	 2.63583e-005
 0.4750000000	 1.2502931620	 1.2503207136	 2.75516e-005
 0.4875000000	 1.2645348914	 1.2645636670	 2.87755e-005
 0.5000000000	 1.2792285995	 1.2792586301	 3.00306e-005
 0.5125000000	 1.2943797821	 1.2944110995	 3.13174e-005
 0.5250000000	 1.3099940467	 1.3100266831	 3.26363e-005
 0.5375000000	 1.3260771140	 1.3261111021	 3.39880e-005
 0.5500000000	 1.3426348192	 1.3426701922	 3.53730e-005
 0.5625000000	 1.3596731132	 1.3597099051	 3.67918e-005
 0.5750000000	 1.3771980648	 1.3772363098	 3.82451e-005
 0.5875000000	 1.3952158611	 1.3952555944	 3.97333e-005
 0.6000000000	 1.4137328101	 1.4137740673	 4.12572e-005
 0.6125000000	 1.4327553413	 1.4327981587	 4.28174e-005
 0.6250000000	 1.4522900081	 1.4523344224	 4.44144e-005
 0.6375000000	 1.4723434886	 1.4723895374	 4.60488e-005
 0.6500000000	 1.4929225878	 1.4929703093	 4.77215e-005
 0.6625000000	 1.5140342388	 1.5140836718	 4.94330e-005
 0.6750000000	 1.5356855049	 1.5357366888	 5.11839e-005
 0.6875000000	 1.5578835809	 1.5579365560	 5.29751e-005
 0.7000000000	 1.5806357952	 1.5806906023	 5.48072e-005
 0.7125000000	 1.6039496109	 1.6040062918	 5.66808e-005
 0.7250000000	 1.6278326286	 1.6278912254	 5.85969e-005
 0.7375000000	 1.6522925870	 1.6523531431	 6.05560e-005
 0.7500000000	 1.6773373659	 1.6773999249	 6.25590e-005
 0.7625000000	 1.7029749871	 1.7030395938	 6.46067e-005
 0.7750000000	 1.7292136170	 1.7292803168	 6.66998e-005
 0.7875000000	 1.7560615681	 1.7561304072	 6.88392e-005
 0.8000000000	 1.7835273010	 1.7835983266	 7.10256e-005
 0.8125000000	 1.8116194268	 1.8116926867	 7.32599e-005
 0.8250000000	 1.8403467084	 1.8404222514	 7.55430e-005
 0.8375000000	 1.8697180632	 1.8697959390	 7.78758e-005
 0.8500000000	 1.8997425649	 1.8998228240	 8.02591e-005
 0.8625000000	 1.9304294458	 1.9305121396	 8.26938e-005
 0.8750000000	 1.9617880985	 1.9618732794	 8.51809e-005
 0.8875000000	 1.9938280786	 1.9939157999	 8.77213e-005
